days_frm_peak,Date0,Close0,close_dv_pk0,Date1,Close1,close_dv_pk1,Date2,Close2,close_dv_pk2,Date3,Close3,close_dv_pk3,Date4,Close4,close_dv_pk4,Date5,Close5,close_dv_pk5,Date6,Close6,close_dv_pk6,Date7,Close7,close_dv_pk7,Date8,Close8,close_dv_pk8,Date9,Close9,close_dv_pk9,Date10,Close10,close_dv_pk10,Date11,Close11,close_dv_pk11,Date12,Close12,close_dv_pk12,Date13,Close13,close_dv_pk13,Date14,Close14,close_dv_pk14
132,1930-01-13,249.6,0.6547743966421826,1937-07-20,183.3,0.9429012345679013,1945-07-17,162.4,1.0055727554179568,1949-03-04,173.7,0.9132492113564669,,,,1957-11-21,439.8,0.8444700460829494,1960-05-16,617.4,0.9006564551422319,,,,1974-03-07,869.1,0.8804579070003039,1980-06-24,877.3,0.970679353839345,,,,1992-01-07,3204.8,1.0489656978266564,2001-06-13,10871.6,0.9898029789868531,,,,2020-06-23,26156.1,0.8851046751729696
133,1930-01-14,250.4,0.6568730325288563,1937-07-21,182.4,0.9382716049382716,1945-07-18,161.7,1.0012383900928792,1949-03-05,174.9,0.9195583596214512,1953-09-21,258.0,0.9253945480631276,1957-11-22,442.7,0.8500384024577573,1960-05-17,621.6,0.9067833698030635,1970-03-23,763.6,0.8847178774186073,1974-03-08,878.1,0.8895755242629926,1980-06-25,887.5,0.9819650365125028,1981-10-26,831.0,0.8211462450592886,1992-01-08,3203.9,1.0486711180937418,2001-06-14,10690.1,0.9732783422557267,2008-02-19,12337.2,0.8709943873768929,2020-06-24,25445.94,0.8610733426684741
134,1930-01-15,251.5,0.6597586568730326,1937-07-22,183.0,0.941358024691358,1945-07-19,162.8,1.0080495356037151,,,,1953-09-22,261.3,0.9372309899569584,,,,1960-05-18,623.0,0.9088256746900073,1970-03-24,773.8,0.8965357432510717,,,,1980-06-26,883.5,0.9775392786014605,1981-10-27,838.4,0.8284584980237154,1992-01-09,3209.5,1.050504058654098,2001-06-15,10623.6,0.9672238610291708,2008-02-20,12427.2,0.8773483003282856,2020-06-25,25745.6,0.8712136337272456
135,1930-01-16,249.0,0.6532004197271774,1937-07-23,183.8,0.9454732510288066,1945-07-20,162.5,1.0061919504643964,1949-03-07,175.6,0.9232386961093586,1953-09-23,262.4,0.9411764705882352,,,,1960-05-19,624.7,0.9113056163384392,1970-03-25,790.1,0.9154211562970687,,,,1980-06-27,881.8,0.9756583314892675,1981-10-28,837.6,0.8276679841897233,1992-01-10,3199.5,1.047230950510605,,,,2008-02-21,12284.3,0.8672596985421299,2020-06-26,25015.55,0.8465092371195699
136,1930-01-17,246.3,0.6461175236096538,1937-07-24,184.9,0.9511316872427984,,,,1949-03-08,176.1,0.9258675078864353,1953-09-24,262.5,0.9415351506456241,1957-11-25,444.4,0.8533026113671275,1960-05-20,625.2,0.9120350109409191,1970-03-26,791.1,0.9165797705943691,1974-03-11,888.5,0.9001114375443218,,,,1981-10-29,833.0,0.8231225296442688,,,,,,,2008-02-22,12381.0,0.8740866250132373,,,
137,1930-01-18,246.8,0.6474291710388248,,,,,,,1949-03-09,175.8,0.9242902208201894,1953-09-25,263.3,0.9444045911047346,1957-11-26,435.3,0.8358294930875577,,,,,,,1974-03-12,887.1,0.8986931415256812,,,,1981-10-30,852.6,0.8424901185770751,,,,2001-06-18,10645.4,0.9692086383335153,,,,,,
138,,,,1937-07-26,184.4,0.948559670781893,1945-07-23,161.7,1.0012383900928792,1949-03-10,175.6,0.9232386961093586,,,,1957-11-27,446.0,0.8563748079877113,,,,,,,1974-03-13,891.7,0.9033532570155,1980-06-30,867.9,0.9602788227483957,,,,1992-01-13,3185.6,1.0426813301911495,2001-06-19,10596.7,0.964774755089406,,,,2020-06-29,25595.8,0.8661445033775027
139,1930-01-20,247.3,0.6487408184679958,1937-07-27,184.2,0.9475308641975307,1945-07-24,161.7,1.0012383900928792,1949-03-11,176.5,0.9279705573080967,,,,,,,1960-05-23,623.7,0.9098468271334793,,,,1974-03-14,889.8,0.9014284267044879,1980-07-01,872.3,0.9651471564505422,,,,1992-01-14,3246.2,1.0625163655407175,2001-06-20,10647.3,0.9693816235114169,2008-02-25,12570.2,0.8874439620177204,2020-06-30,25812.88,0.8734903432728445
140,1930-01-21,249.6,0.6547743966421826,1937-07-28,182.6,0.9393004115226337,1945-07-25,162.4,1.0055727554179568,1949-03-12,177.0,0.9305993690851736,1953-09-28,264.8,0.9497847919655668,1957-11-29,449.9,0.8638632872503841,1960-05-24,621.4,0.9064916119620714,1970-03-30,784.7,0.9091646390916465,1974-03-15,887.8,0.8994022895350015,1980-07-02,876.0,0.9692409825182563,1981-11-02,866.8,0.8565217391304347,1992-01-15,3258.5,1.066542288557214,2001-06-21,10715.4,0.9755817764667322,2008-02-26,12684.9,0.8955416710791062,2020-07-01,25734.97,0.8708539217404783
141,1930-01-22,250.2,0.6563483735571878,1937-07-29,183.0,0.941358024691358,1945-07-26,160.9,0.9962848297213622,,,,1953-09-29,264.8,0.9497847919655668,,,,1960-05-25,621.3,0.9063457330415754,1970-03-31,785.6,0.9102073919592167,,,,1980-07-03,888.9,0.9835140517813676,1981-11-03,868.7,0.8583992094861661,1992-01-16,3249.6,1.0636292223095052,2001-06-22,10604.6,0.9654940092501548,2008-02-27,12694.3,0.8962053019873627,2020-07-02,25827.36,0.8739803366471054
142,1930-01-23,253.5,0.6650052465897167,1937-07-30,184.0,0.9465020576131687,1945-07-27,160.9,0.9962848297213622,1949-03-14,177.0,0.9305993690851736,1953-09-30,264.0,0.9469153515064562,,,,1960-05-26,622.8,0.9085339168490153,1970-04-01,792.0,0.9176225234619395,,,,,,,1981-11-04,866.8,0.8565217391304347,1992-01-17,3265.0,1.0686698088504845,,,,2008-02-28,12582.2,0.8882911504112394,,,
143,1930-01-24,256.3,0.6723504721930745,1937-07-31,185.6,0.9547325102880658,,,,1949-03-15,176.0,0.92534174553102,1953-10-01,265.7,0.9530129124820659,1957-12-02,446.9,0.8581029185867896,1960-05-27,624.8,0.911451495258935,1970-04-02,792.4,0.9180859691808596,1974-03-18,874.2,0.8856245567824942,,,,1981-11-05,859.1,0.8489130434782609,,,,,,,2008-02-29,12266.4,0.8659959758551308,,,
144,1930-01-25,259.1,0.6796956977964324,,,,,,,1949-03-16,175.5,0.9227129337539433,1953-10-02,266.7,0.956599713055954,1957-12-03,446.6,0.8575268817204302,,,,1970-04-03,791.8,0.9173908006024794,1974-03-19,867.6,0.8789383041231892,,,,1981-11-06,852.5,0.842391304347826,,,,2001-06-25,10504.2,0.9563531082705125,,,,,,
145,,,,1937-08-02,186.9,0.9614197530864198,1945-07-30,162.1,1.0037151702786378,1949-03-17,176.3,0.9269190325972662,,,,1957-12-04,448.9,0.8619431643625193,,,,,,,1974-03-20,872.3,0.8836997264714821,1980-07-07,898.2,0.9938039389245409,,,,1992-01-20,3254.0,1.0650693898926422,2001-06-26,10472.5,0.9534669871444699,,,,2020-07-06,26287.03,0.8895352575273878
146,1930-01-27,260.9,0.684417628541448,1937-08-03,185.9,0.956275720164609,1945-07-31,162.9,1.008668730650155,1949-03-18,176.3,0.9269190325972662,,,,1957-12-05,449.6,0.8632872503840247,,,,,,,1974-03-21,875.5,0.8869415459426603,1980-07-08,897.4,0.9929187873423324,,,,1992-01-21,3223.4,1.0550536789735534,2001-06-27,10434.8,0.9500345970355802,2008-03-03,12258.9,0.8654664831091814,2020-07-07,25890.18,0.8761061228191404
147,1930-01-28,257.9,0.6765477439664218,1937-08-04,186.8,0.9609053497942387,1945-08-01,162.7,1.0074303405572755,1949-03-19,176.1,0.9258675078864353,1953-10-05,265.5,0.9522955523672884,1957-12-06,447.2,0.8586789554531491,1960-05-31,625.5,0.912472647702407,1970-04-06,791.2,0.9166956320240992,1974-03-22,878.1,0.8895755242629926,1980-07-09,897.3,0.9928081433945564,1981-11-09,855.2,0.8450592885375494,1992-01-22,3255.8,1.065658549358471,2001-06-28,10566.2,0.961997887759933,2008-03-04,12213.8,0.8622824667302057,2020-07-08,26067.28,0.8820990666438364
148,1930-01-29,262.2,0.6878279118572928,1937-08-05,186.1,0.9573045267489712,1945-08-02,162.5,1.0061919504643964,,,,1953-10-06,264.3,0.9479913916786227,,,,1960-06-01,624.9,0.911597374179431,1970-04-07,791.6,0.9171590777430193,,,,1980-07-10,885.9,0.9801947333480859,1981-11-10,854.0,0.8438735177865613,1992-01-23,3226.7,1.056133804660906,2001-06-29,10502.4,0.9561892275756582,2008-03-05,12255.0,0.8651911468812877,2020-07-09,25706.09,0.8698766421376706
149,1930-01-30,263.3,0.6907135362014691,1937-08-06,185.4,0.9537037037037037,1945-08-03,163.1,1.0099071207430341,1949-03-21,175.6,0.9232386961093586,1953-10-07,266.5,0.9558823529411764,,,,1960-06-02,627.9,0.9159737417943107,1970-04-08,791.6,0.9171590777430193,,,,1980-07-11,891.1,0.9859482186324409,1981-11-11,857.1,0.8469367588932807,1992-01-24,3232.8,1.0581304006284369,,,,2008-03-06,12040.4,0.850040594443856,2020-07-10,26075.3,0.8823704580016798
150,1930-01-31,267.1,0.7006820566631691,1937-08-07,186.4,0.9588477366255144,,,,1949-03-22,174.8,0.9190325972660358,1953-10-08,266.7,0.956599713055954,1957-12-09,443.8,0.8521505376344087,1960-06-03,629.0,0.9175784099197666,1970-04-09,792.5,0.9182018306105897,1974-03-25,881.0,0.8925134231587478,,,,1981-11-12,860.5,0.8502964426877471,,,,,,,2008-03-07,11893.7,0.8396837163330862,,,
